Level,Emoji,Phrase,Meaning
N5,➡️,mashouka (ましょうか),shall I ~; used to offer help to the listener
N5,➡️,mo (も),too; also; as well
N5,➕,mou (もう),already; anymore; again; other
N5,📖,na-adjectives (な-adjectives),na-adjectives
N5,🔚,naa (なあ),sentence ending particle; confirmation; admiration; etc
N5,➡️,naide (ないで),without doing ~; to do [B] without doing [A]
N5,✅,naide kudasai (ないでください),please don't do ~
N5,‼️,naito ikenai (ないといけない),must do; have an obligation to do ~
N5,📋,naku temo ii (なくてもいい),don't have to
N5,‼️,nakucha (なくちゃ),must do; need to; gotta do ~
N5,‼️,nakute wa ikenai (なくてはいけない),must do; need to do
N5,‼️,nakute wa naranai (なくてはならない),must do; need to do ~
N5,🔄,naru (なる),to become
N5,❗,ndesu (んです),to explain something; show emphasis
N5,❓,ne (ね),isn't it? right? eh?
N5,➡️,ni (に),destination particle; in; at; on; to
N5,➡️,ni iku (に行く（にいく）),go to do ~
N5,➡️,ni suru (にする),to decide on
N5,➡️,ni/e (に/へ),to (indicates direction / destination)
N5,⚛️,no (の),possessive particle
N5,❗,no desu (のです),to explain something; show emphasis
N5,➡️,no ga heta (のが下手（のがへた）),to be bad at doing something
N5,➡️,no ga jouzu (のが上手（のがじょうず）),to be good at
N5,📌,no ga suki (のが好き（のがすき）),to like doing something
N5,📤,no naka de [A] ga ichiban (の中で[A]が一番（のなかで[A]がいちばん）),out of this group; [A] is best
N5,📅,node (ので),because of; given that; since ~
N5,❓,o / go (お / ご),polite marker; honorific prefix particle
N5,⚛️,o / wo (を),object marker particle
N5,🎁,o kudasai (をください),please give me ~
N5,⚠️,shikashi (しかし),but; however ~
N5,⏭️,sore kara (それから),and; and then; after that; since then
N5,🚫,soshite (そして),and; and then; thus; and now ~
N5,➕,sugiru (すぎる),too much
N5,⏮️,ta koto ga aru (たことがある),to have done something before
N5,🙏,tai (たい),want to do something
N5,👉,tari~tari (たり～たり),do such things as A and B
N5,💫,te aru (てある),is/has been done (resulting state)
N5,📍,te iru (ている),ongoing action or current state
N5,⏭️,te kara (てから),after doing ~
N5,✅,te kudasai (てください),please do
N5,💪,te wa ikenai (てはいけない),must not; may not; cannot
N5,🤔,temo ii desu (てもいいです),is OK to ~; is alright to ~; may I ~?
N5,➕,to (と),and; with; as; connecting particle
N5,⏰,toki (とき),when; at this time
N5,‼️,totemo (とても),very; awfully; exceedingly​
N5,🔚,tsumori (つもり),plan to ~; intend to ~
N5,📌,wa - topic marker (は),topic marker
N5,⚖️,wa ~yori... desu (は〜より・・・です),[Noun-1] is more ~ than [Noun-2]
N5,📋,wa dou desu ka (はどうですか),how about; how is
N5,➕,ya (や),and; or; connecting particle
N5,❗,yo (よ),you know; emphasis (ending particle)
N5,⚖️,yori ~hou ga (より～ほうが),[2] is more than [1]
